,username,gender,age,occupation,age,zipcode,password
1796,user1797,M,35,executive/managerial,35-44,52003,youaresosmartifyoufiguredoutthispassword
1797,user1798,M,45,lawyer,45-49,22204,youaresosmartifyoufiguredoutthispassword
1798,user1799,M,35,lawyer,35-44,70118,youaresosmartifyoufiguredoutthispassword
1799,user1800,M,18,college/grad student,18-24,70118,youaresosmartifyoufiguredoutthispassword
1800,user1801,F,25,doctor/health care,25-34,54729,youaresosmartifyoufiguredoutthispassword
1801,user1802,M,18,college/grad student,18-24,22903,youaresosmartifyoufiguredoutthispassword
1802,user1803,M,25,artist,25-34,50021,youaresosmartifyoufiguredoutthispassword
1803,user1804,M,25,executive/managerial,25-34,22314,youaresosmartifyoufiguredoutthispassword
1804,user1805,M,18,college/grad student,18-24,22401,youaresosmartifyoufiguredoutthispassword
1805,user1806,M,18,college/grad student,18-24,22032,youaresosmartifyoufiguredoutthispassword
1806,user1807,M,18,technician/engineer,18-24,20742,youaresosmartifyoufiguredoutthispassword
1807,user1808,F,18,college/grad student,18-24,22031,youaresosmartifyoufiguredoutthispassword
1808,user1809,F,25,sales/marketing,25-34,12189,youaresosmartifyoufiguredoutthispassword
1809,user1810,M,50,retired,50-55,90210,youaresosmartifyoufiguredoutthispassword
1810,user1811,M,56,artist,56+,08825,youaresosmartifyoufiguredoutthispassword
1811,user1812,F,25,programmer,25-34,48103,youaresosmartifyoufiguredoutthispassword
1812,user1813,F,35,doctor/health care,35-44,90035,youaresosmartifyoufiguredoutthispassword
1813,user1814,M,50,executive/managerial,50-55,10014,youaresosmartifyoufiguredoutthispassword
1814,user1815,M,1,academic/educator,Under 18,30707,youaresosmartifyoufiguredoutthispassword
1815,user1816,F,35,homemaker,35-44,56007,youaresosmartifyoufiguredoutthispassword
1816,user1817,M,35,academic/educator,35-44,53706,youaresosmartifyoufiguredoutthispassword
1817,user1818,M,1,farmer,Under 18,02254,youaresosmartifyoufiguredoutthispassword
1818,user1819,F,35,programmer,35-44,45249,youaresosmartifyoufiguredoutthispassword
1819,user1820,M,25,writer,25-34,50265,youaresosmartifyoufiguredoutthispassword
1820,user1821,M,25,writer,25-34,43315,youaresosmartifyoufiguredoutthispassword
1821,user1822,F,25,other or not specified,25-34,53713,youaresosmartifyoufiguredoutthispassword
1822,user1823,F,35,academic/educator,35-44,92801,youaresosmartifyoufiguredoutthispassword
1823,user1824,F,18,college/grad student,18-24,43560,youaresosmartifyoufiguredoutthispassword
1824,user1825,M,25,executive/managerial,25-34,50310,youaresosmartifyoufiguredoutthispassword
1825,user1826,M,45,lawyer,45-49,49265,youaresosmartifyoufiguredoutthispassword
1826,user1827,F,25,academic/educator,25-34,07721,youaresosmartifyoufiguredoutthispassword
1827,user1828,M,18,college/grad student,18-24,07030,youaresosmartifyoufiguredoutthispassword
1828,user1829,M,25,self-employed,25-34,07302,youaresosmartifyoufiguredoutthispassword
1829,user1830,M,18,college/grad student,18-24,12180,youaresosmartifyoufiguredoutthispassword
1830,user1831,M,18,college/grad student,18-24,53190,youaresosmartifyoufiguredoutthispassword
1831,user1832,F,18,college/grad student,18-24,14433,youaresosmartifyoufiguredoutthispassword
1832,user1833,M,18,technician/engineer,18-24,07030,youaresosmartifyoufiguredoutthispassword
1833,user1834,M,35,customer service,35-44,10990,youaresosmartifyoufiguredoutthispassword
1834,user1835,M,25,unemployed,25-34,11501,youaresosmartifyoufiguredoutthispassword
1835,user1836,M,25,other or not specified,25-34,10016,youaresosmartifyoufiguredoutthispassword
1836,user1837,M,25,artist,25-34,08817,youaresosmartifyoufiguredoutthispassword
1837,user1838,M,35,executive/managerial,35-44,10011,youaresosmartifyoufiguredoutthispassword
1838,user1839,M,18,college/grad student,18-24,07940,youaresosmartifyoufiguredoutthispassword
1839,user1840,M,25,programmer,25-34,11217,youaresosmartifyoufiguredoutthispassword
1840,user1841,M,18,other or not specified,18-24,95037,youaresosmartifyoufiguredoutthispassword
1841,user1842,M,18,college/grad student,18-24,53190,youaresosmartifyoufiguredoutthispassword
1842,user1843,M,25,programmer,25-34,10014,youaresosmartifyoufiguredoutthispassword
1843,user1844,F,18,college/grad student,18-24,53711,youaresosmartifyoufiguredoutthispassword
1844,user1845,M,25,artist,25-34,10002,youaresosmartifyoufiguredoutthispassword
1845,user1846,M,45,programmer,45-49,95051,youaresosmartifyoufiguredoutthispassword
1846,user1847,M,18,college/grad student,18-24,60047,youaresosmartifyoufiguredoutthispassword
1847,user1848,M,35,customer service,35-44,10011,youaresosmartifyoufiguredoutthispassword
1848,user1849,M,35,executive/managerial,35-44,11747,youaresosmartifyoufiguredoutthispassword
1849,user1850,M,18,customer service,18-24,12582,youaresosmartifyoufiguredoutthispassword
1850,user1851,M,25,unemployed,25-34,59602,youaresosmartifyoufiguredoutthispassword
1851,user1852,M,25,programmer,25-34,10036,youaresosmartifyoufiguredoutthispassword
1852,user1853,M,50,other or not specified,50-55,90803,youaresosmartifyoufiguredoutthispassword
1853,user1854,M,25,other or not specified,25-34,92346,youaresosmartifyoufiguredoutthispassword
1854,user1855,M,18,college/grad student,18-24,93004,youaresosmartifyoufiguredoutthispassword
1855,user1856,M,56,executive/managerial,56+,92065,youaresosmartifyoufiguredoutthispassword
1856,user1857,M,1,K-12 student,Under 18,92106,youaresosmartifyoufiguredoutthispassword
1857,user1858,F,18,college/grad student,18-24,59715,youaresosmartifyoufiguredoutthispassword
1858,user1859,F,25,college/grad student,25-34,66049,youaresosmartifyoufiguredoutthispassword
1859,user1860,M,56,self-employed,56+,94591,youaresosmartifyoufiguredoutthispassword
1860,user1861,M,50,self-employed,50-55,92129,youaresosmartifyoufiguredoutthispassword
1861,user1862,M,50,sales/marketing,50-55,95129,youaresosmartifyoufiguredoutthispassword
1862,user1863,M,18,college/grad student,18-24,90048,youaresosmartifyoufiguredoutthispassword
1863,user1864,M,35,executive/managerial,35-44,94306,youaresosmartifyoufiguredoutthispassword
1864,user1865,F,18,academic/educator,18-24,94606,youaresosmartifyoufiguredoutthispassword
1865,user1866,M,25,executive/managerial,25-34,94043,youaresosmartifyoufiguredoutthispassword
1866,user1867,M,50,executive/managerial,50-55,95008,youaresosmartifyoufiguredoutthispassword
1867,user1868,M,50,lawyer,50-55,92346,youaresosmartifyoufiguredoutthispassword
1868,user1869,M,45,sales/marketing,45-49,95148,youaresosmartifyoufiguredoutthispassword
1869,user1870,M,56,retired,56+,85248,youaresosmartifyoufiguredoutthispassword
1870,user1871,F,45,academic/educator,45-49,46774,youaresosmartifyoufiguredoutthispassword
1871,user1872,M,50,writer,50-55,92106,youaresosmartifyoufiguredoutthispassword
1872,user1873,M,35,executive/managerial,35-44,02127,youaresosmartifyoufiguredoutthispassword
1873,user1874,M,45,executive/managerial,45-49,95076,youaresosmartifyoufiguredoutthispassword
1874,user1875,M,35,programmer,35-44,94107,youaresosmartifyoufiguredoutthispassword
1875,user1876,M,25,programmer,25-34,92024,youaresosmartifyoufiguredoutthispassword
1876,user1877,F,45,writer,45-49,90069,youaresosmartifyoufiguredoutthispassword
1877,user1878,M,1,K-12 student,Under 18,92846,youaresosmartifyoufiguredoutthispassword
1878,user1879,M,25,college/grad student,25-34,29732,youaresosmartifyoufiguredoutthispassword
1879,user1880,M,35,other or not specified,35-44,91006,youaresosmartifyoufiguredoutthispassword
1880,user1881,M,35,artist,35-44,95008,youaresosmartifyoufiguredoutthispassword
1881,user1882,M,35,self-employed,35-44,92352,youaresosmartifyoufiguredoutthispassword
1882,user1883,F,50,other or not specified,50-55,94521,youaresosmartifyoufiguredoutthispassword
1883,user1884,M,45,writer,45-49,93108,youaresosmartifyoufiguredoutthispassword
1884,user1885,M,50,technician/engineer,50-55,94611,youaresosmartifyoufiguredoutthispassword
1885,user1886,M,25,programmer,25-34,94086,youaresosmartifyoufiguredoutthispassword
1886,user1887,M,56,scientist,56+,92119,youaresosmartifyoufiguredoutthispassword
1887,user1888,M,35,programmer,35-44,95124,youaresosmartifyoufiguredoutthispassword
1888,user1889,M,18,sales/marketing,18-24,80023,youaresosmartifyoufiguredoutthispassword
1889,user1890,M,50,doctor/health care,50-55,94702,youaresosmartifyoufiguredoutthispassword
1890,user1891,M,45,academic/educator,45-49,91335,youaresosmartifyoufiguredoutthispassword
1891,user1892,M,25,writer,25-34,90066,youaresosmartifyoufiguredoutthispassword
1892,user1893,F,35,other or not specified,35-44,90024,youaresosmartifyoufiguredoutthispassword
1893,user1894,F,35,executive/managerial,35-44,94602,youaresosmartifyoufiguredoutthispassword
1894,user1895,M,35,sales/marketing,35-44,89119,youaresosmartifyoufiguredoutthispassword
1895,user1896,M,56,retired,56+,92115,youaresosmartifyoufiguredoutthispassword
1896,user1897,F,50,artist,50-55,94530,youaresosmartifyoufiguredoutthispassword
1897,user1898,M,25,programmer,25-34,91101,youaresosmartifyoufiguredoutthispassword
1898,user1899,F,45,doctor/health care,45-49,02135,youaresosmartifyoufiguredoutthispassword
1899,user1900,M,56,programmer,56+,94109,youaresosmartifyoufiguredoutthispassword
1900,user1901,M,50,executive/managerial,50-55,94024,youaresosmartifyoufiguredoutthispassword
1901,user1902,M,25,unemployed,25-34,93536,youaresosmartifyoufiguredoutthispassword
1902,user1903,M,35,other or not specified,35-44,90401,youaresosmartifyoufiguredoutthispassword
1903,user1904,M,18,academic/educator,18-24,30115,youaresosmartifyoufiguredoutthispassword
1904,user1905,F,35,writer,35-44,94118,youaresosmartifyoufiguredoutthispassword
1905,user1906,F,25,customer service,25-34,91311,youaresosmartifyoufiguredoutthispassword
1906,user1907,M,35,technician/engineer,35-44,94804,youaresosmartifyoufiguredoutthispassword
1907,user1908,M,56,retired,56+,95129,youaresosmartifyoufiguredoutthispassword
1908,user1909,M,18,college/grad student,18-24,89146,youaresosmartifyoufiguredoutthispassword
1909,user1910,M,1,K-12 student,Under 18,94707,youaresosmartifyoufiguredoutthispassword
1910,user1911,F,18,college/grad student,18-24,92805,youaresosmartifyoufiguredoutthispassword
1911,user1912,M,25,college/grad student,25-34,91325,youaresosmartifyoufiguredoutthispassword
1912,user1913,M,25,technician/engineer,25-34,95126,youaresosmartifyoufiguredoutthispassword
1913,user1914,F,35,sales/marketing,35-44,95051,youaresosmartifyoufiguredoutthispassword
1914,user1915,M,50,retired,50-55,01938,youaresosmartifyoufiguredoutthispassword
1915,user1916,M,45,executive/managerial,45-49,90405,youaresosmartifyoufiguredoutthispassword
1916,user1917,M,18,K-12 student,18-24,92704,youaresosmartifyoufiguredoutthispassword
1917,user1918,F,45,doctor/health care,45-49,95209,youaresosmartifyoufiguredoutthispassword
1918,user1919,M,1,other or not specified,Under 18,94525,youaresosmartifyoufiguredoutthispassword
1919,user1920,F,35,executive/managerial,35-44,80122,youaresosmartifyoufiguredoutthispassword
1920,user1921,M,56,programmer,56+,92780,youaresosmartifyoufiguredoutthispassword
1921,user1922,F,25,executive/managerial,25-34,94303,youaresosmartifyoufiguredoutthispassword
1922,user1923,M,35,executive/managerial,35-44,90026,youaresosmartifyoufiguredoutthispassword
1923,user1924,F,56,doctor/health care,56+,90630,youaresosmartifyoufiguredoutthispassword
1924,user1925,M,50,executive/managerial,50-55,92886,youaresosmartifyoufiguredoutthispassword
1925,user1926,F,1,other or not specified,Under 18,95404,youaresosmartifyoufiguredoutthispassword
1926,user1927,M,35,executive/managerial,35-44,94806,youaresosmartifyoufiguredoutthispassword
1927,user1928,M,1,K-12 student,Under 18,94501,youaresosmartifyoufiguredoutthispassword
1928,user1929,F,1,K-12 student,Under 18,91107,youaresosmartifyoufiguredoutthispassword
1929,user1930,M,25,scientist,25-34,94550,youaresosmartifyoufiguredoutthispassword
1930,user1931,M,25,artist,25-34,94114,youaresosmartifyoufiguredoutthispassword
1931,user1932,M,25,executive/managerial,25-34,94114,youaresosmartifyoufiguredoutthispassword
1932,user1933,M,18,unemployed,18-24,94703,youaresosmartifyoufiguredoutthispassword
1933,user1934,M,25,technician/engineer,25-34,95014,youaresosmartifyoufiguredoutthispassword
1934,user1935,M,1,K-12 student,Under 18,90405,youaresosmartifyoufiguredoutthispassword
1935,user1936,M,35,other or not specified,35-44,90026,youaresosmartifyoufiguredoutthispassword
1936,user1937,M,25,lawyer,25-34,92335,youaresosmartifyoufiguredoutthispassword
1937,user1938,F,25,artist,25-34,91351,youaresosmartifyoufiguredoutthispassword
1938,user1939,F,35,artist,35-44,94930,youaresosmartifyoufiguredoutthispassword
1939,user1940,M,25,programmer,25-34,95158,youaresosmartifyoufiguredoutthispassword
1940,user1941,M,35,technician/engineer,35-44,94550,youaresosmartifyoufiguredoutthispassword
1941,user1942,M,35,customer service,35-44,04901,youaresosmartifyoufiguredoutthispassword
1942,user1943,M,18,college/grad student,18-24,91501,youaresosmartifyoufiguredoutthispassword
1943,user1944,F,18,college/grad student,18-24,93107,youaresosmartifyoufiguredoutthispassword
1944,user1945,M,25,writer,25-34,92866,youaresosmartifyoufiguredoutthispassword
1945,user1946,M,25,sales/marketing,25-34,94110,youaresosmartifyoufiguredoutthispassword
1946,user1947,M,25,executive/managerial,25-34,94041,youaresosmartifyoufiguredoutthispassword
1947,user1948,M,1,K-12 student,Under 18,93111,youaresosmartifyoufiguredoutthispassword
1948,user1949,M,18,technician/engineer,18-24,92595,youaresosmartifyoufiguredoutthispassword
1949,user1950,M,25,programmer,25-34,49024,youaresosmartifyoufiguredoutthispassword
1950,user1951,F,18,college/grad student,18-24,90630,youaresosmartifyoufiguredoutthispassword
1951,user1952,M,35,academic/educator,35-44,91030,youaresosmartifyoufiguredoutthispassword
1952,user1953,F,25,artist,25-34,94566,youaresosmartifyoufiguredoutthispassword
1953,user1954,M,25,self-employed,25-34,91402,youaresosmartifyoufiguredoutthispassword
1954,user1955,M,1,unemployed,Under 18,03109,youaresosmartifyoufiguredoutthispassword
1955,user1956,M,35,other or not specified,35-44,44280,youaresosmartifyoufiguredoutthispassword
1956,user1957,F,18,college/grad student,18-24,23185,youaresosmartifyoufiguredoutthispassword
1957,user1958,F,25,academic/educator,25-34,17055,youaresosmartifyoufiguredoutthispassword
1958,user1959,F,50,retired,50-55,53092,youaresosmartifyoufiguredoutthispassword
1959,user1960,M,45,executive/managerial,45-49,55555,youaresosmartifyoufiguredoutthispassword
1960,user1961,F,50,clerical/admin,50-55,91911,youaresosmartifyoufiguredoutthispassword
1961,user1962,F,18,academic/educator,18-24,60914,youaresosmartifyoufiguredoutthispassword
1962,user1963,F,50,homemaker,50-55,91941,youaresosmartifyoufiguredoutthispassword
1963,user1964,F,25,doctor/health care,25-34,89523,youaresosmartifyoufiguredoutthispassword
1964,user1965,M,56,technician/engineer,56+,48304,youaresosmartifyoufiguredoutthispassword
1965,user1966,M,25,writer,25-34,93637,youaresosmartifyoufiguredoutthispassword
1966,user1967,M,50,executive/managerial,50-55,92116,youaresosmartifyoufiguredoutthispassword
1967,user1968,M,25,lawyer,25-34,85258,youaresosmartifyoufiguredoutthispassword
1968,user1969,F,25,clerical/admin,25-34,92116,youaresosmartifyoufiguredoutthispassword
1969,user1970,M,50,retired,50-55,89052,youaresosmartifyoufiguredoutthispassword
1970,user1971,F,25,sales/marketing,25-34,80230,youaresosmartifyoufiguredoutthispassword
1971,user1972,M,45,technician/engineer,45-49,92111,youaresosmartifyoufiguredoutthispassword
1972,user1973,M,25,academic/educator,25-34,22903,youaresosmartifyoufiguredoutthispassword
1973,user1974,M,35,technician/engineer,35-44,12159,youaresosmartifyoufiguredoutthispassword
1974,user1975,M,18,college/grad student,18-24,97361,youaresosmartifyoufiguredoutthispassword
1975,user1976,M,35,customer service,35-44,58703,youaresosmartifyoufiguredoutthispassword
1976,user1977,M,56,doctor/health care,56+,02726,youaresosmartifyoufiguredoutthispassword
1977,user1978,M,1,K-12 student,Under 18,43357,youaresosmartifyoufiguredoutthispassword
1978,user1979,M,56,technician/engineer,56+,49506,youaresosmartifyoufiguredoutthispassword
1979,user1980,M,35,executive/managerial,35-44,06460,youaresosmartifyoufiguredoutthispassword
1980,user1981,M,56,academic/educator,56+,80303,youaresosmartifyoufiguredoutthispassword
1981,user1982,M,1,K-12 student,Under 18,80540,youaresosmartifyoufiguredoutthispassword
1982,user1983,M,25,sales/marketing,25-34,92109,youaresosmartifyoufiguredoutthispassword
1983,user1984,M,18,K-12 student,18-24,92130,youaresosmartifyoufiguredoutthispassword
1984,user1985,M,45,programmer,45-49,92122,youaresosmartifyoufiguredoutthispassword
1985,user1986,M,50,retired,50-55,91977,youaresosmartifyoufiguredoutthispassword
1986,user1987,M,25,technician/engineer,25-34,62629,youaresosmartifyoufiguredoutthispassword
1987,user1988,F,25,academic/educator,25-34,85224,youaresosmartifyoufiguredoutthispassword
1988,user1989,M,50,doctor/health care,50-55,02090,youaresosmartifyoufiguredoutthispassword
1989,user1990,M,25,executive/managerial,25-34,85257,youaresosmartifyoufiguredoutthispassword
1990,user1991,M,25,writer,25-34,48309,youaresosmartifyoufiguredoutthispassword
1991,user1992,M,18,college/grad student,18-24,85259,youaresosmartifyoufiguredoutthispassword
1992,user1993,M,35,technician/engineer,35-44,99508,youaresosmartifyoufiguredoutthispassword
1993,user1994,M,35,artist,35-44,89012,youaresosmartifyoufiguredoutthispassword
1994,user1995,M,25,academic/educator,25-34,85364,youaresosmartifyoufiguredoutthispassword
1995,user1996,M,35,other or not specified,35-44,85621,youaresosmartifyoufiguredoutthispassword
1996,user1997,M,25,other or not specified,25-34,84108,youaresosmartifyoufiguredoutthispassword
1997,user1998,F,50,homemaker,50-55,24018,youaresosmartifyoufiguredoutthispassword
1998,user1999,F,35,clerical/admin,35-44,02113,youaresosmartifyoufiguredoutthispassword
1999,user2000,M,18,college/grad student,18-24,44685,youaresosmartifyoufiguredoutthispassword
2000,user2001,M,50,academic/educator,50-55,48197,youaresosmartifyoufiguredoutthispassword
2001,user2002,F,56,retired,56+,02136-1522,youaresosmartifyoufiguredoutthispassword
2002,user2003,M,1,K-12 student,Under 18,80014,youaresosmartifyoufiguredoutthispassword
2003,user2004,M,45,unemployed,45-49,53572,youaresosmartifyoufiguredoutthispassword
2004,user2005,M,18,college/grad student,18-24,58601,youaresosmartifyoufiguredoutthispassword
2005,user2006,M,35,other or not specified,35-44,66048,youaresosmartifyoufiguredoutthispassword
2006,user2007,M,50,self-employed,50-55,80442,youaresosmartifyoufiguredoutthispassword
2007,user2008,M,25,clerical/admin,25-34,48220,youaresosmartifyoufiguredoutthispassword
2008,user2009,F,35,executive/managerial,35-44,60625,youaresosmartifyoufiguredoutthispassword
2009,user2010,M,18,college/grad student,18-24,81520,youaresosmartifyoufiguredoutthispassword
2010,user2011,F,35,clerical/admin,35-44,01545,youaresosmartifyoufiguredoutthispassword
2011,user2012,M,25,college/grad student,25-34,49456,youaresosmartifyoufiguredoutthispassword
2012,user2013,M,45,other or not specified,45-49,60543,youaresosmartifyoufiguredoutthispassword
2013,user2014,M,18,college/grad student,18-24,53233,youaresosmartifyoufiguredoutthispassword
2014,user2015,M,18,college/grad student,18-24,01003,youaresosmartifyoufiguredoutthispassword
2015,user2016,F,56,artist,56+,20783,youaresosmartifyoufiguredoutthispassword
2016,user2017,M,25,technician/engineer,25-34,35808,youaresosmartifyoufiguredoutthispassword
2017,user2018,M,35,self-employed,35-44,46214,youaresosmartifyoufiguredoutthispassword
2018,user2019,M,50,academic/educator,50-55,27705,youaresosmartifyoufiguredoutthispassword
2019,user2020,M,25,executive/managerial,25-34,45011,youaresosmartifyoufiguredoutthispassword
2020,user2021,M,25,other or not specified,25-34,61364,youaresosmartifyoufiguredoutthispassword
2021,user2022,M,25,executive/managerial,25-34,60137,youaresosmartifyoufiguredoutthispassword
2022,user2023,M,18,college/grad student,18-24,56001,youaresosmartifyoufiguredoutthispassword
2023,user2024,M,1,unemployed,Under 18,06614,youaresosmartifyoufiguredoutthispassword
2024,user2025,M,56,retired,56+,03440,youaresosmartifyoufiguredoutthispassword
2025,user2026,M,50,self-employed,50-55,49277,youaresosmartifyoufiguredoutthispassword
2026,user2027,F,25,homemaker,25-34,48021,youaresosmartifyoufiguredoutthispassword
2027,user2028,M,45,doctor/health care,45-49,44131,youaresosmartifyoufiguredoutthispassword
2028,user2029,F,25,programmer,25-34,10011,youaresosmartifyoufiguredoutthispassword
2029,user2030,M,25,college/grad student,25-34,77345,youaresosmartifyoufiguredoutthispassword
2030,user2031,M,35,writer,35-44,60640,youaresosmartifyoufiguredoutthispassword
2031,user2032,M,50,sales/marketing,50-55,44614,youaresosmartifyoufiguredoutthispassword
2032,user2033,F,45,writer,45-49,91436,youaresosmartifyoufiguredoutthispassword
2033,user2034,F,45,artist,45-49,01851,youaresosmartifyoufiguredoutthispassword
2034,user2035,F,18,other or not specified,18-24,45212,youaresosmartifyoufiguredoutthispassword
2035,user2036,F,25,sales/marketing,25-34,90046,youaresosmartifyoufiguredoutthispassword
2036,user2037,M,56,sales/marketing,56+,02468,youaresosmartifyoufiguredoutthispassword
2037,user2038,F,45,academic/educator,45-49,33301,youaresosmartifyoufiguredoutthispassword
2038,user2039,M,50,self-employed,50-55,60060,youaresosmartifyoufiguredoutthispassword
2039,user2040,F,25,executive/managerial,25-34,02494,youaresosmartifyoufiguredoutthispassword
2040,user2041,F,25,writer,25-34,24015,youaresosmartifyoufiguredoutthispassword
2041,user2042,M,1,K-12 student,Under 18,79358,youaresosmartifyoufiguredoutthispassword
2042,user2043,M,25,sales/marketing,25-34,37931,youaresosmartifyoufiguredoutthispassword
2043,user2044,F,45,other or not specified,45-49,49408,youaresosmartifyoufiguredoutthispassword
2044,user2045,F,1,other or not specified,Under 18,24179,youaresosmartifyoufiguredoutthispassword
2045,user2046,M,35,academic/educator,35-44,91711,youaresosmartifyoufiguredoutthispassword
2046,user2047,M,1,K-12 student,Under 18,06437,youaresosmartifyoufiguredoutthispassword
2047,user2048,M,50,doctor/health care,50-55,49456,youaresosmartifyoufiguredoutthispassword
2048,user2049,F,50,other or not specified,50-55,13210,youaresosmartifyoufiguredoutthispassword
2049,user2050,F,35,clerical/admin,35-44,99504,youaresosmartifyoufiguredoutthispassword
2050,user2051,M,35,executive/managerial,35-44,93906,youaresosmartifyoufiguredoutthispassword
2051,user2052,M,1,K-12 student,Under 18,46033,youaresosmartifyoufiguredoutthispassword
2052,user2053,M,45,lawyer,45-49,06416,youaresosmartifyoufiguredoutthispassword
2053,user2054,M,25,programmer,25-34,03110,youaresosmartifyoufiguredoutthispassword
2054,user2055,M,50,lawyer,50-55,49008,youaresosmartifyoufiguredoutthispassword
2055,user2056,M,25,college/grad student,25-34,56301,youaresosmartifyoufiguredoutthispassword
2056,user2057,M,35,academic/educator,35-44,49417,youaresosmartifyoufiguredoutthispassword
2057,user2058,F,56,academic/educator,56+,06437,youaresosmartifyoufiguredoutthispassword
2058,user2059,M,35,other or not specified,35-44,44130,youaresosmartifyoufiguredoutthispassword
2059,user2060,M,1,academic/educator,Under 18,48304,youaresosmartifyoufiguredoutthispassword
2060,user2061,M,56,academic/educator,56+,44107,youaresosmartifyoufiguredoutthispassword
2061,user2062,M,18,college/grad student,18-24,44646,youaresosmartifyoufiguredoutthispassword
2062,user2063,M,25,college/grad student,25-34,43138,youaresosmartifyoufiguredoutthispassword
2063,user2064,M,35,academic/educator,35-44,01020,youaresosmartifyoufiguredoutthispassword
2064,user2065,M,25,doctor/health care,25-34,46807,youaresosmartifyoufiguredoutthispassword
2065,user2066,F,25,doctor/health care,25-34,53202,youaresosmartifyoufiguredoutthispassword
2066,user2067,M,50,self-employed,50-55,06430,youaresosmartifyoufiguredoutthispassword
2067,user2068,F,35,programmer,35-44,43528,youaresosmartifyoufiguredoutthispassword
2068,user2069,M,56,scientist,56+,79068,youaresosmartifyoufiguredoutthispassword
2069,user2070,F,35,doctor/health care,35-44,13210,youaresosmartifyoufiguredoutthispassword
2070,user2071,M,45,executive/managerial,45-49,01605,youaresosmartifyoufiguredoutthispassword
2071,user2072,F,50,programmer,50-55,21133,youaresosmartifyoufiguredoutthispassword
2072,user2073,F,18,college/grad student,18-24,13148,youaresosmartifyoufiguredoutthispassword
2073,user2074,M,18,college/grad student,18-24,48197,youaresosmartifyoufiguredoutthispassword
2074,user2075,F,25,college/grad student,25-34,13210,youaresosmartifyoufiguredoutthispassword
2075,user2076,M,18,college/grad student,18-24,13165,youaresosmartifyoufiguredoutthispassword
2076,user2077,M,18,other or not specified,18-24,55112,youaresosmartifyoufiguredoutthispassword
2077,user2078,M,18,college/grad student,18-24,13323,youaresosmartifyoufiguredoutthispassword
2078,user2079,M,1,K-12 student,Under 18,45241,youaresosmartifyoufiguredoutthispassword
2079,user2080,M,25,lawyer,25-34,37931,youaresosmartifyoufiguredoutthispassword
2080,user2081,M,18,technician/engineer,18-24,49445,youaresosmartifyoufiguredoutthispassword
2081,user2082,M,1,unemployed,Under 18,48323,youaresosmartifyoufiguredoutthispassword
2082,user2083,M,18,college/grad student,18-24,64920,youaresosmartifyoufiguredoutthispassword
2083,user2084,M,18,college/grad student,18-24,23186,youaresosmartifyoufiguredoutthispassword
2084,user2085,M,18,other or not specified,18-24,06360,youaresosmartifyoufiguredoutthispassword
2085,user2086,M,35,sales/marketing,35-44,48328,youaresosmartifyoufiguredoutthispassword
2086,user2087,M,25,other or not specified,25-34,37923-3112,youaresosmartifyoufiguredoutthispassword
2087,user2088,M,50,executive/managerial,50-55,60618,youaresosmartifyoufiguredoutthispassword
2088,user2089,M,35,technician/engineer,35-44,17601,youaresosmartifyoufiguredoutthispassword
2089,user2090,M,35,technician/engineer,35-44,48313,youaresosmartifyoufiguredoutthispassword
2090,user2091,F,35,writer,35-44,48044,youaresosmartifyoufiguredoutthispassword
2091,user2092,M,56,academic/educator,56+,49006,youaresosmartifyoufiguredoutthispassword
2092,user2093,M,18,other or not specified,18-24,48322,youaresosmartifyoufiguredoutthispassword
2093,user2094,M,35,artist,35-44,60061,youaresosmartifyoufiguredoutthispassword
2094,user2095,M,56,retired,56+,58504,youaresosmartifyoufiguredoutthispassword
2095,user2096,F,25,technician/engineer,25-34,33990,youaresosmartifyoufiguredoutthispassword
2096,user2097,M,18,customer service,18-24,48504,youaresosmartifyoufiguredoutthispassword
2097,user2098,M,35,writer,35-44,48067,youaresosmartifyoufiguredoutthispassword
2098,user2099,F,18,other or not specified,18-24,48823,youaresosmartifyoufiguredoutthispassword
2099,user2100,F,25,other or not specified,25-34,24017,youaresosmartifyoufiguredoutthispassword
2100,user2101,M,25,self-employed,25-34,48309,youaresosmartifyoufiguredoutthispassword
2101,user2102,M,25,lawyer,25-34,48825,youaresosmartifyoufiguredoutthispassword
2102,user2103,M,35,programmer,35-44,03062,youaresosmartifyoufiguredoutthispassword
2103,user2104,M,45,scientist,45-49,60035,youaresosmartifyoufiguredoutthispassword
2104,user2105,M,25,academic/educator,25-34,24060,youaresosmartifyoufiguredoutthispassword
2105,user2106,F,18,writer,18-24,495321,youaresosmartifyoufiguredoutthispassword
2106,user2107,M,25,academic/educator,25-34,24060,youaresosmartifyoufiguredoutthispassword
2107,user2108,M,1,K-12 student,Under 18,60462,youaresosmartifyoufiguredoutthispassword
2108,user2109,M,25,self-employed,25-34,13090,youaresosmartifyoufiguredoutthispassword
2109,user2110,M,50,lawyer,50-55,46802,youaresosmartifyoufiguredoutthispassword
2110,user2111,M,56,retired,56+,32806,youaresosmartifyoufiguredoutthispassword
2111,user2112,F,45,programmer,45-49,23116,youaresosmartifyoufiguredoutthispassword
2112,user2113,M,25,doctor/health care,25-34,04456,youaresosmartifyoufiguredoutthispassword
2113,user2114,M,18,tradesman/craftsman,18-24,21740,youaresosmartifyoufiguredoutthispassword
2114,user2115,M,35,technician/engineer,35-44,01519,youaresosmartifyoufiguredoutthispassword
2115,user2116,M,18,college/grad student,18-24,49546,youaresosmartifyoufiguredoutthispassword
